title,authors,publisher,publishedDate,description,industryIdentifiers,readingModes,pageCount,printType,categories,maturityRating,allowAnonLogging,contentVersion,panelizationSummary,imageLinks,language,previewLink,infoLink,canonicalVolumeLink,averageRating,ratingsCount,subtitle,comicsContent,seriesInfo
The Man from Sing Sing,['Edward Phillips Oppenheim'],,2018,,"[{'type': 'ISBN_10', 'identifier': '8381484979'}, {'type': 'ISBN_13', 'identifier': '9788381484978'}]","{'text': False, 'image': False}",,BOOK,,NOT_MATURE,False,preview-1.0.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}",,en,http://books.google.nl/books?id=4Z1_zQEACAAJ&dq=intitle:THE+MAN+FROM+SING+SING&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=4Z1_zQEACAAJ&dq=intitle:THE+MAN+FROM+SING+SING&hl=&source=gbs_api,https://books.google.com/books/about/The_Man_from_Sing_Sing.html?hl=&id=4Z1_zQEACAAJ,,,,,
Mr. and Mrs. Pennington,['Francis Brett Young'],London : Heinemann,1931,,"[{'type': 'OTHER', 'identifier': 'UOM:39015030113701'}]","{'text': False, 'image': False}",568.0,BOOK,['English fiction'],NOT_MATURE,False,0.6.2.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=bkERAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=bkERAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.nl/books?id=bkERAAAAMAAJ&q=intitle:MR.+AND+MRS.+PENNINGTON&dq=intitle:MR.+AND+MRS.+PENNINGTON&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=bkERAAAAMAAJ&dq=intitle:MR.+AND+MRS.+PENNINGTON&hl=&source=gbs_api,https://books.google.com/books/about/Mr_and_Mrs_Pennington.html?hl=&id=bkERAAAAMAAJ,,,,,
The End of Desire,['Robert Herrick'],,1932,,"[{'type': 'OTHER', 'identifier': 'UCAL:B3548175'}]","{'text': False, 'image': False}",394.0,BOOK,['American fiction'],NOT_MATURE,False,0.7.2.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=uGU4AAAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=uGU4AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.nl/books?id=uGU4AAAAIAAJ&q=intitle:THE+END+OF+DESIRE&dq=intitle:THE+END+OF+DESIRE&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=uGU4AAAAIAAJ&dq=intitle:THE+END+OF+DESIRE&hl=&source=gbs_api,https://books.google.com/books/about/The_End_of_Desire.html?hl=&id=uGU4AAAAIAAJ,,,,,
Mary's Neck,['Booth Tarkington'],,,,"[{'type': 'ISBN_10', 'identifier': '1787807428'}, {'type': 'ISBN_13', 'identifier': '9781787807426'}]","{'text': False, 'image': False}",,BOOK,,NOT_MATURE,False,preview-1.0.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}",,en,http://books.google.nl/books?id=PjFJzQEACAAJ&dq=intitle:MARY%27S+NECK&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=PjFJzQEACAAJ&dq=intitle:MARY%27S+NECK&hl=&source=gbs_api,https://books.google.com/books/about/Mary_s_Neck.html?hl=&id=PjFJzQEACAAJ,,,She was Everything,,
The Loads of Poetry,['Aarchi Advani'],Pencil,2021-07-15,"t's hard to say goodbye. The hardest thing, what I mean. My love, this is not a bye. Only a beginning. It was fantastic, living a metrical minutes. This is not goodbye. It's only beginning, just like spring. Believe me, my love. True love is forever. Don't forget a moment. The very first love, touch between us. hope you all are doing well... this book contains poetry and you will love to give it a look.. this book contains 50 poems that are kind of love, sorrow, hate, etc. this is part one.. and part 2 of loads of poetry will reach you soon..","[{'type': 'ISBN_13', 'identifier': '9789354582912'}, {'type': 'ISBN_10', 'identifier': '9354582915'}]","{'text': True, 'image': True}",73.0,BOOK,['Poetry'],NOT_MATURE,False,0.4.5.0.preview.3,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=aQM2EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=aQM2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=aQM2EAAAQBAJ&pg=PT37&dq=intitle:LOADS+OF+LOVE&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=aQM2EAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=aQM2EAAAQBAJ,,,poetically,,
Miss Pinkerton,['Mary Roberts Rinehart'],Hachette UK,2021-08-05,"'A literary celebrity with few rivals ... she wrote more bestselling novels ... over a longer period than almost any other American writer' WASHINGTON POST Everyone agrees that Herbert Wynne wasn't the type to commit suicide. But he has been found, shot dead, the only other possible killer his bedridden aunt. Inspector Patton of the Homicide Division sees this as the perfect opportunity to send in Hilda Adams, a nurse with a very special talent for detection. But when the sleuthing nurse arrives at the mansion, she finds more intrigue than anyone outside could possibly have imagined - and a killer on the loose...","[{'type': 'ISBN_13', 'identifier': '9781471920844'}, {'type': 'ISBN_10', 'identifier': '1471920844'}]","{'text': True, 'image': False}",197.0,BOOK,['Fiction'],NOT_MATURE,False,1.2.2.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=4AQGEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=4AQGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=4AQGEAAAQBAJ&pg=PT21&dq=intitle:MISS+PINKERTON&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=4AQGEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=4AQGEAAAQBAJ,,,,,
Brave New World,['Aldous Huxley'],Random House,2008-12-26,"Brave New World predicts - with eerie clarity - a terrifying vision of the future. Read the dystopian classic. EVERYONE BELONGS TO EVERYONE ELSE Welcome to New London. Everybody is happy here. Our perfect society achieved peace and stability through the prohibition of monogamy, privacy, money, family and history itself. Now everyone belongs. You can be happy too. All you need to do is take your Soma pills. Discover the brave new world of Aldous Huxley's classic novel, written in 1932, which prophesied a society which expects maximum pleasure and accepts complete surveillance - no matter what the cost. 'A masterpiece of speculation... As vibrant, fresh, and somehow shocking as it was when I first read it' Margaret Atwood, bestselling author of The Handmaid's Tale 'A grave warning... Provoking, stimulating, shocking and dazzling' Observer **One of the BBC's 100 Novels That Shaped Our World**","[{'type': 'ISBN_13', 'identifier': '9781407021010'}, {'type': 'ISBN_10', 'identifier': '140702101X'}]","{'text': True, 'image': False}",288.0,BOOK,['Fiction'],NOT_MATURE,True,0.41.29.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=kKh5Dyqxx-QC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=kKh5Dyqxx-QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=kKh5Dyqxx-QC&printsec=frontcover&dq=intitle:BRAVE+NEW+WORLD&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=kKh5Dyqxx-QC&source=gbs_api,https://play.google.com/store/books/details?id=kKh5Dyqxx-QC,3.0,3.0,,,
Lives of Girls and Women,['Alice Munro'],Random House,2015-03-05,"The only novel from bestselling author Alice Munro, winner of the Nobel Prize in Literature Catching frogs, grazing knees, singing songs to save England from Hitler - that was childhood for Del Jordan, and now she's impatient for more. More than she can find in the encyclopedias sold by her mother, or in the half-understood innuendos dispensed by best friend Naomi, or in the whispers of boys during Friday night dances. Just like the girls in the movies, she wants to get started on real life. In her only novel, Alice Munro turns her eye to the frustrations, embarrassments, glee and bewilderment of adolescence, and to the brushes with sex, death, violence and birth that shape the lives of girls and women. 'I am the perfect audience for her brand of quiet, seething feminism' Lena Dunham 'Superb' Independent 'In Munro's work, nothing can be predicted. Emotions erupt. Preconceptions crumble. Surprises proliferate' Margaret Atwood 'Exact and unflinching' Guardian 'She is one of the handful of writers, some living, most dead, whom I have in mind when I say that fiction is my religion' Jonathan Franzen","[{'type': 'ISBN_13', 'identifier': '9781473521469'}, {'type': 'ISBN_10', 'identifier': '1473521467'}]","{'text': True, 'image': False}",336.0,BOOK,['Fiction'],NOT_MATURE,True,1.3.4.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=4OItBQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=4OItBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=4OItBQAAQBAJ&printsec=frontcover&dq=intitle:THIRTEEN+WOMEN&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=4OItBQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=4OItBQAAQBAJ,,,,,
Life Goes On. . ?,['Jenna Rose Lowthert'],Createspace Independent Publishing Platform,2014-11-27,"Life goes on. But does it really? When my beautiful 47 year old mother, Gina, was diagnosed with stage four Lung Cancer, my world as I knew it came tumbling down. As a 23 year old girl, ready to start a life of my own, this heart wrenching news was more than I could bear. Together we battled her terminal illness. Along the way we shared happiness, sadness, laughter, love, hope & heartache. We went through the motions, the ups and downs. I stood by her side as she inspired many others who were also fighting this beast they call cancer, to keep on fighting. We kept the hope strong as she had an army behind her cheering her on, every step of the way. When my mom passed away only ten months after diagnosis I found treasures that she had left behind that told a story of a mother's undying love. Treasures that will forever remain in my mind, body, heart, and soul. Treasures that brought a new hope and a profound reason to carry on the life she loved to live so very much. This true story was written with the intent to inspire many. To those who are fighting the fight, keep on fighting. To those who have experienced tremendous loss, we must remember that even through the darkest of days, life does in fact go on.","[{'type': 'ISBN_10', 'identifier': '1499719949'}, {'type': 'ISBN_13', 'identifier': '9781499719949'}]","{'text': False, 'image': False}",0.0,BOOK,['Lungs'],NOT_MATURE,False,preview-1.0.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=kILjrQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=kILjrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.nl/books?id=kILjrQEACAAJ&dq=intitle:AND+LIFE+GOES+ON&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=kILjrQEACAAJ&dq=intitle:AND+LIFE+GOES+ON&hl=&source=gbs_api,https://books.google.com/books/about/Life_Goes_On.html?hl=&id=kILjrQEACAAJ,,,,,
Paris 1919,['Margaret MacMillan'],Hachette UK,2011-11-10,"Previously published as Peacemakers Between January and July 1919, after the war to end all wars, men and women from all over the world converged on Paris for the Peace Conference. At its heart were the leaders of the three great powers - Woodrow Wilson, Lloyd George and Clemenceau. Kings, prime ministers and foreign ministers with their crowds of advisers rubbed shoulders with journalists and lobbyists for a hundred causes - from Armenian independence to women's rights. Everyone had business in Paris that year - T.E. Lawrence, Queen Marie of Romania, Maynard Keynes, Ho Chi Minh. There had never been anything like it before, and there never has been since. For six extraordinary months the city was effectively the centre of world government as the peacemakers wound up bankrupt empires and created new countries. They pushed Russia to the sidelines, alienated China and dismissed the Arabs, struggled with the problems of Kosovo, of the Kurds, and of a homeland for the Jews. The peacemakers, so it has been said, failed dismally; failed above all to prevent another war. Margaret MacMillan argues that they have unfairly been made scapegoats for the mistakes of those who came later. They tried to be evenhanded, but their goals - to make defeated countries pay without destroying them, to satisfy impossible nationalist dreams, to prevent the spread of Bolshevism and to establish a world order based on democracy and reason - could not be achieved by diplomacy. Paris 1919 (originally published as Peacemakers) offers a prismatic view of the moment when much of the modern world was first sketched out.","[{'type': 'ISBN_13', 'identifier': '9781848546684'}, {'type': 'ISBN_10', 'identifier': '1848546688'}]","{'text': True, 'image': False}",900.0,BOOK,['History'],NOT_MATURE,True,1.5.5.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=VSx37W6OtOUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=VSx37W6OtOUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=VSx37W6OtOUC&printsec=frontcover&dq=intitle:1919&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=VSx37W6OtOUC&source=gbs_api,https://play.google.com/store/books/details?id=VSx37W6OtOUC,5.0,1.0,Six Months that Changed the World,,
The Ballroom on Magnolia Street,['Sharon Owens'],Penguin UK,2006-02-02,"Shirley Winters is a daydreamer in loves vintage clothes and 80's music. She is also in love with with gorgeous Declan Greenwood and can't believe her luck when her crush is rewarded with a swift marriage proposal. Older sister Kate, who enjoys collecting handbags and lovers with equal relish, is less than pleased with this news. There is no chance she is playing bridesmaid to Shirley's bride, so the rush is on to find a husband of her own. Handsome Johnny Hogan owns the ballroom on Magnolia Street, and still pines for Marion, the woman he loved and lost many years ago. And when he finds out that Declan is the son Marion had by him, he insists on playing a major part in the wedding. But little does he realize that Kate intends making it Belfast's double wedding of the year ...","[{'type': 'ISBN_13', 'identifier': '9780141921228'}, {'type': 'ISBN_10', 'identifier': '0141921226'}]","{'text': True, 'image': False}",400.0,BOOK,['Fiction'],NOT_MATURE,True,1.6.5.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=01uyuBQq3DcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=01uyuBQq3DcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.nl/books?id=01uyuBQq3DcC&pg=PT10&dq=intitle:MAGNOLIA+STREET&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=01uyuBQq3DcC&source=gbs_api,https://play.google.com/store/books/details?id=01uyuBQq3DcC,,,,,
